study_id,study_name,cancer_type_id,clinical_attribute_id,display_name,description,datatype,patient_attribute,groups,is_outcome_or_treatment_candidate
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,AGE,Diagnosis Age,Age at the time of diagnosis expressed in number of days since birth.,NUMBER,True,age;response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,CANCER_TYPE,Cancer Type,The main cancer type as defined by the Oncotree cancer classification system for precision oncology.,STRING,False,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,CANCER_TYPE_DETAILED,Cancer Type Detailed,The cancer subtype as defined by the Oncotree cancer classification system for precision oncology.,STRING,False,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,CAUSE_OF_DEATH,Cause of Death,Text term to identify the cause of death for a patient.,STRING,True,overall_survival,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,DAYS_TO_BIRTH,Birth from Initial Pathologic Diagnosis Date,"Time interval from a person's date of birth to the date of initial pathologic diagnosis, represented as a calculated number of days.",NUMBER,True,age;response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,DAYS_TO_DEATH,Death from Initial Pathologic Diagnosis Date,"Time interval from a person's date of death to the date of initial pathologic diagnosis, represented as a calculated number of days.",NUMBER,True,overall_survival;response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,ETHNICITY,Ethnicity Category,The text for reporting information about ethnicity (uses NAACCR values).,STRING,True,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,ONCOTREE_CODE,Oncotree Code,The assigned Oncotree code of the sample as defined by the Oncotree cancer classification system for precision oncology.,STRING,False,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,OS_MONTHS,Overall Survival (Months),"If alive, the number of months the patient has survived since initial diagnosis, otherwise the number of months the patient survived before death.",NUMBER,True,overall_survival,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,OS_STATUS,Overall Survival Status,The patient's survival status; is the patient alive or deceased.,STRING,True,overall_survival,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,PRIMARY_DIAGNOSIS,Primary Diagnosis,"Text term used to describe the patient's histologic diagnosis, as described by the World Health Organization's (WHO) International Classification of Diseases for Oncology (ICD-O).",STRING,True,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,PRIMARY_SITE,Primary Tumor Site,The organ sub-division term assigned to the primary tumor location of the sample.,STRING,False,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,PRIMARY_SITE_PATIENT,Patient Primary Tumor Site,Text term to describe the organ sub-division in an individual with cancer.,STRING,True,response,True
luad_cptac_gdc,"Lung Adenocarcinoma (CPTAC GDC, 2025)",luad,PROJECT_ID,Project Identifier,GDC-assigned identifier for the project to which a case belongs.,STRING,True,response,True
