country,region,query,title,journal,pub_year,author_string,doi,pmid,pmcid,source,is_open_access,cited_by_count,abstract_text,url,candidate_use,allowed_for_training,manual_review_required,notes,dedup_key,relevance_score,initial_trust_category,use_allowed_for_model_training,use_allowed_for_dashboard_context,requires_manual_full_text_review,requires_patient_level_supplement_check,final_decision
Brazil,Latin America,EGFR lung adenocarcinoma NSCLC Brazil mutation frequency,Prevalence of &lt;i&gt;EGFR&lt;/i&gt; mutations in patients with resected stage I-III non-small cell lung cancer: results from EARLY-EGFR Latin America study.,,2025,"Kajatt EA, Perroud HA, Garcia-Herreros L, Suárez F, Puello Guerrero A, Tejado Gallegos LF, Donner N, Huggenberger R, Corrales L.",10.21037/jtd-2025-904,41522158,PMC12780410,MED,Y,0,"<h4>Background</h4>Although targeted and immune-based therapies are now recommended for early-stage non-small cell lung cancer (NSCLC), data on biomarker prevalence in Latin America (LATAM) remain limited. The aim of the descriptive, observational, real-world, EARLY-EGFR (NCT04742192) study was to determine the frequency of <i>EGFR</i>-mutated (<i>EGFR</i>m) in patients with resected stage I-III NSCLC across Asia, Middle East and Africa and LATAM.<h4>Methods</h4>The LATAM subset prospectively enrolled patients with surgically resected stage IA-IIIB [American Joint Committee on Cancer (AJCC) 8th edition] non-squamous NSCLC from March 2021 to October 2022. Primary endpoint was <i>EGFR</i>m prevalence and secondary endpoints were <i>EGFR</i>m subtypes, clinico-demographics and treatment patterns. Associations were analyzed by Fisher's exact test with Monte Carlo.<h4>Results</h4>Of 80 patients (mean ± standard deviation age of 66.5±9.7 years) enrolled, 67.5% were females and 57.5% were never smokers. Most patients had pathological stage (PS) stage I (66.3%) NSCLC, with 85.0% patients having pN0; all patients had adenocarcinoma. Most patients (61.3%) had right lung involvement. More than one-third of patients (39.5%; 30/76) had <i>EGFR</i>m with similar rates in males and females (39.1% <i>vs</i>. 39.6%). <i>Exon-19</i> deletions (36.7%) and 21-<i>L858R</i> (30.0%) accounted for two-thirds of mutations. Four of 11 (36.4%) patients with <i>EGFR</i>m were found to be programmed death ligand-1 (PD-L1) positive. <i>EGFRm</i> rate in never smokers was significantly higher than in current and former smokers (51.2% <i>vs</i>. 24.2%, P=0.02). A total of 76.3% underwent only surgical resection. Of 44 PS IB-IIIB patients, 40.9% were prescribed systemic adjuvant therapy (AT), mostly platinum-based chemotherapy. Per logistic regression, age ≥60 years had increased odds of <i>EGFR</i>m, while smokers had decreased odds of <i>EGFR</i>m (both P<0.05).<h4>Conclusions</h4>The LATAM subset shows an <i>EGFR</i>m prevalence of 39.5%. Despite American Society of Clinical Oncology guidelines recommending AT in PS IB-IIIB, only about 32% received it. Our results are important for guiding <i>EGFR</i> testing and informing treatment strategies in LATAM with recent and upcoming approvals of targeted and immunotherapy.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.21037/jtd-2025-904|41522158|prevalence of &lt;i&gt;egfr&lt;/i&gt; mutations in patients with resected stage i-iii non-small cell lung cancer: result,13,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR lung adenocarcinoma NSCLC Brazil mutation frequency,Metastatic colorectal adenocarcinoma with APC and EGFR L858R co-mutations: a case report.,,2026,"Cavalheiro VJ, Sobral Filho DSR, de Oliveira GM, da Fonseca MDRN, Travessini G, Soares IC, de Castro Junior G, Sabbaga J, Mak MP, Gehm Hoff PM.",10.1093/oncolo/oyaf421,41423794,PMC12923143,MED,Y,0,"Mutations in the adenomatous polyposis coli (APC) gene are frequent in colorectal cancer (CRC), whereas epidermal growth factor receptor (EGFR) mutations, particularly the L858R variant, are exceedingly rare. Their coexistence in CRC is rare and poorly described in the literature and poses diagnostic and therapeutic challenges. We describe a 69-year-old man with a history of resected CRC who presented with a lung mass and adrenal lesions, initially suspected as metastatic non-small cell lung cancer (NSCLC). Biopsy revealed poorly differentiated carcinoma with immunohistochemistry suggestive of gastrointestinal origin. Due to doubts regarding the primary site, it was decided to start systemic treatment with mFOLFIRINOX while awaiting NGS. After 7 cycles, a partial radiologic and clinical response was observed. Next-generation sequencing (NGS) became available and identified an EGFR L858R mutation, favoring NSCLC. Chemotherapy was paused, and the patient was treated with gefitinib. Rapid disease progression ensued, with new brain metastases. Expanded NGS subsequently revealed concurrent APC and TP53 pathogenic variants, confirming the diagnosis of metastatic CRC harboring co-occurring EGFR and APC mutations. The patient died 10 months after diagnosis. This case underscores the critical role of comprehensive molecular profiling via NGS in accurately diagnosing complex oncologic presentations. To our knowledge, this is the first case report of APC and EGFR L858R co-mutation in colorectal cancer. For this patient, the misclassification delayed the use of more appropriate therapies for CRC, which may have impacted clinical outcomes.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.1093/oncolo/oyaf421|41423794|metastatic colorectal adenocarcinoma with apc and egfr l858r co-mutations: a case report.,12,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR lung adenocarcinoma NSCLC Brazil mutation frequency,Clinically relevant somatic variants and genomic discordance between primary tumors and mediastinal lymph nodes in lung adenocarcinoma.,,2026,"Faria CS, Baldavira CM, Prieto TG, Santoro IL, Figueiredo VR, do Nascimento ECT, Kulikowski LD, Takagaki TY, Cervato M, Terra RM, Capelozzi VL, Antonangelo L.",10.1177/17588359251409007,41624150,PMC12855732,MED,Y,0,"<h4>Background</h4>Histopathological evaluation, TNM classification, and mediastinal staging via endobronchial ultrasound-guided transbronchial needle aspiration provide essential guidance for therapeutic decision-making in non-small cell lung cancer (NSCLC). Genomic profiles of primary tumors (PT) and matched mediastinal lymph nodes (MLN) can uncover occult metastases, refine recurrence risk assessment, and support personalized treatment strategies in lung adenocarcinoma (LUAD).<h4>Objectives</h4>The study aimed to investigate clinically relevant somatic variants in formalin-fixed, paraffin-embedded (FFPE) PT and scrapings of MLN cytological slide samples using next-generation sequencing (NGS) and correlated the findings with overall survival (OS).<h4>Design</h4>We retrospectively analyzed the genomic profile of PT and MLN from Brazilian LUAD patients between 2013 and 2020.<h4>Methods</h4>Genomic DNA (gDNA) was extracted from PT and MLN matched samples of 32 patients (<i>n</i> = 64). Targeted NGS was performed using the SureSelect XTHS2 panel. We analyzed OS using Kaplan-Meier curves, and risk factors for mortality using univariate and multivariate Cox regression models.<h4>Results</h4>Clinically significant or potentially significant variants were identified in 72% of PT and 75% of MLN, totaling 46 and 51 variants, respectively. The most frequent variants in PT involved <i>EGFR</i> (39.3%), <i>TP53</i> (28.6%), <i>ATM</i>, and <i>KRAS</i> (21.4% in both), whereas in MLN, <i>EGFR</i> (35.7%), <i>TP53</i> (32.1%), <i>KRAS</i> and <i>BRAF</i> (14.3% in both), and <i>ATM</i> (10.7%) have predominated. Co-mutations were detected in 31.3% of PT and 43.8% of MLN, with variant discordance between PT-MLN in 82.2% of cases.<h4>Conclusion</h4>Cox regression analysis demonstrated that the presence of co-mutations in MLN was a co-factor associated with poorer OS, while no significant associations were observed for PT variants. These findings highlight distinct genomic profiles between PT and MLN. Integrating the molecular profile of MLN into staging may improve prognostic accuracy and guide treatment decisions in LUAD patients.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.1177/17588359251409007|41624150|clinically relevant somatic variants and genomic discordance between primary tumors and mediastinal lymph nodes in lung ,12,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR lung adenocarcinoma NSCLC Brazil mutation frequency,Favorable response to third-generation TKI furmonertinib in a patient with early-stage non-small cell lung cancer​ harboring rare compound EGFR mutations: Exon 18 G719C and Exon 20 S768I - A Case Report.,,2025,"Liu S, Zhang J, Dong Y, Wang Y.",10.3389/fonc.2025.1714432,41626155,PMC12855046,MED,Y,0,"EGFR Exon 19 deletions and exon 21 point mutations of EGFR are the most prevalent alterations in lung adenocarcinoma, and patients with these mutations derive substantial clinical benefit from EGFR tyrosine kinase inhibitors (TKIs). Nevertheless, the therapeutic efficacy of TKIs in rare compound EGFR mutations remains unclear. Here, we describe a case of early-stage non-small cell lung cancer (NSCLC) harboring a G719C+S768I compound mutation that achieved complete remission following treatment with furmonertinib. These findings suggest that furmonertinib may represent a promising therapeutic option to improve cure rates in this subset of patients.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.3389/fonc.2025.1714432|41626155|favorable response to third-generation tki furmonertinib in a patient with early-stage non-small cell lung cancer​ harbo,12,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,lung cancer EGFR mutations Brazil adenocarcinoma,A case report of neoadjuvant targeted therapy in stage IIIA non-small cell lung cancer with &lt;i&gt;BRAF V600E&lt;/i&gt; mutation.,,2025,"Peng W, Qu S, Cai L, Yang R, Dong M, Li X, Ran F, Luo C.",10.3389/fmed.2025.1664182,41480531,PMC12753909,MED,Y,0,"For advanced or metastatic non-small cell lung cancer (NSCLC) with actionable gene mutations, first-line targeted therapy significantly prolongs survival compared to chemotherapy and immunotherapy. Perioperative targeted therapy has achieved significant improvement in early- and locally advanced-stage NSCLC patients with epidermal growth factor receptor (<i>EGFR</i>) and anaplastic lymphoma kinase (<i>ALK</i>) mutations. However, there have been few reports of neoadjuvant treatment in patients with non-small cell lung cancer with rare mutations, such as BRAF (V-Raf murine sarcoma viral oncogene homolog B) V600E mutation. In this report, we present a case of inoperable stage IIIA lung adenocarcinoma with a <i>BRAF V600E</i> mutation that underwent radical lung cancer surgery following neoadjuvant targeted therapy. The postoperative pathology review revealed a pathological complete response (pCR). This case illustrates that BRAF and mitogen-activated extracellular signal-regulated kinase (MEK) inhibitor therapy may represent a viable option for neoadjuvant therapy in locally advanced <i>BRAF V600E</i> mutant NSCLC.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.3389/fmed.2025.1664182|41480531|a case report of neoadjuvant targeted therapy in stage iiia non-small cell lung cancer with &lt;i&gt;braf v600e&lt;/i&gt,12,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR lung adenocarcinoma NSCLC Brazil mutation frequency,Feasibility of a ctDNA multigenic panel for non-small-cell lung cancer early detection and disease surveillance.,,2026,"Casagrande GMS, de Oliveira Silva M, Dos Reis MB, de Oliveira Cavagna R, Sussuchi L, Alves Pinto I, Pontes NZ, Chiarantano RS, da Silva FAF, de Marchi P, Leal LF, Reis RM.",10.1002/1878-0261.70131,41071680,PMC13042580,MED,Y,0,"The detection of actionable mutations in liquid biopsies is a crucial tool for precision oncology in patients with non-small-cell lung cancer (NSCLC). We evaluated actionable alterations using a multigene panel in circulating tumor DNA (ctDNA) from Brazilian NSCLC patients. We analyzed 32 samples from 30 patients with NSCLC, including four samples from a lung cancer screening program. ctDNA isolation and library preparation were performed using the Oncomine Lung cfDNA Assay, which covers 11 actionable genes, and sequenced on an Ion S5 Sequencer. The IonReporter 5.20 software was used for variant calling. Median read coverage reached 80 967, with a detection limit of 0.1%. TP53 (40.6%), KRAS (28.1%), and EGFR (12.5%) were the most frequently mutated genes, particularly in patients who had previously received treatment. BRAF, MAP2K1, PIK3CA, and ALK mutations were observed at lower frequencies (6.2%, 3.1%, 3.1%, and 3.1%, respectively). The EGFR p.T790M mutations related to resistance were identified in a patient who had been previously treated, and the TP53 p.R248Q mutation was discovered in an asymptomatic patient before diagnosis. No variants were observed in NRAS, ROS1, and MET genes. Our data showed that this commercial NGS panel could detect actionable mutations, enabling early detection, treatment monitoring, and disease surveillance.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.1002/1878-0261.70131|41071680|feasibility of a ctdna multigenic panel for non-small-cell lung cancer early detection and disease surveillance.,11,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR mutated non small cell lung cancer Brazil cohort,"Prevalence of Genomic Alterations in &lt;i&gt;EGFR&lt;/i&gt;, &lt;i&gt;KRAS&lt;/i&gt;, &lt;i&gt;NRAS&lt;/i&gt;, and &lt;i&gt;BRAF&lt;/i&gt; Among Early-Stage Nonsquamous Non-Small Cell Lung Cancer in Brazil.",,2026,"Marques FK, Barbosa de Carvalho AH, Cordeiro de Lima VC, Siqueira Roberto J, Menezes Freire MC.",10.1200/go-25-00231,41538756,,MED,N,0,"<h4>Purpose</h4>We studied the prevalence of somatic mutations in <i>EGFR, KRAS, BRAF,</i> and <i>NRAS</i> among Brazilian patients with early-stage non-small cell lung cancer (NSCLC). We also explored the association between these mutations and clinicopathologic characteristics.<h4>Methods</h4>We screened 557 patients diagnosed with NSCLC who underwent <i>EGFR</i>, <i>KRAS</i>, <i>BRAF</i>, and <i>NRAS</i> gene sequencing by next-generation sequencing (NGS) or RT-PCR (<i>EGFR</i> only) between 2021 and 2023. We analyzed the frequency of mutations in these genes and their association with clinical characteristics among 399 patients with early-stage nonsquamous NSCLC.<h4>Results</h4>Among 399 patients with early-stage nonsquamous NSCLC included in the analysis, we identified mutations in 218 (54.6%), totaling 224. The median age was 67 years, and most were female (58.9%). The most frequently mutated genes were <i>EGFR</i> and <i>KRAS</i>. Actionable genomic alterations were found in 137 cases, representing 34.3% of the entire cohort and 62.8% of patients with mutations. In cases with actionable mutations identified by NGS, <i>EGFR</i> mutations accounted for 68.0%, followed by <i>KRAS</i> (27.3%) and <i>BRAF</i> (4.7%). We found a significant association between histologic subtype and grade, as well as between tumor T stage and histologic subtype. A higher frequency of <i>EGFR</i> mutations was observed among females. We noted an association between mutated <i>EGFR</i> and the lepidic subtype, mutated <i>KRAS</i> and the mucinous/colloid subtype, and between the nonmutated genotype and the solid/micropapillary subtype.<h4>Conclusion</h4>This study provides an overview of the genomic landscape of early-stage nonsquamous NSCLC in Brazilian patients. The high prevalence of mutations observed in our cohort underscores the importance of genomic testing in this setting, enabling selection of patients suitable for targeted approved therapies or clinical trials.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,"10.1200/go-25-00231|41538756|prevalence of genomic alterations in &lt;i&gt;egfr&lt;/i&gt;, &lt;i&gt;kras&lt;/i&gt;, &lt;i&gt;nras&lt;/i&gt;, and &lt;",11,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR mutated non small cell lung cancer Brazil cohort,Evolving treatment strategies for EGFRex20ins-mutated NSCLC: a comprehensive review of Amivantamab's role and future directions.,,2025,"Pereira RA, Tumelero M, Schwengber WK, Lenz G.",10.3332/ecancer.2025.2037,41694159,PMC12904677,MED,Y,0,"Epidermal growth factor receptor exon 20 insertion mutations (EGFRex20ins) are a unique molecular subtype of non-small cell lung cancer (NSCLC) linked to resistance to EGFR tyrosine kinase inhibitors of the first and second generations. Until recently, these patients had few and frequently ineffective treatment options. Amivantamab, a bispecific antibody targeting both EGFR and mesenchymal-epithelial transition factor, has become a novel therapeutic strategy for this population. This review explores the mechanism of action of Amivantamab and its clinical efficacy and safety as demonstrated in clinical trials. Additionally, the clinical development of the subcutaneous formulation of amivantamab, real-world evidence and its regulatory status were evaluated. Lastly, we contextualise Amivantamab in the current treatment landscape by contrasting it with mobocertinib and highlighting current studies that aim to improve central nervous system activity and overcome resistance mechanisms. This review highlights the therapeutic benefit of Amivantamab in EGFRex20ins-mutated NSCLC and offers guidance for future research in this quickly developing area.",,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.3332/ecancer.2025.2037|41694159|evolving treatment strategies for egfrex20ins-mutated nsclc: a comprehensive review of amivantamab's role and future dir,11,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,EGFR mutated non small cell lung cancer Brazil cohort,First-line treatment strategies for &lt;i&gt;BRAF&lt;/i&gt;-V600E mutated non-small cell lung cancer: lessons from real-world data and ongoing uncertainties.,,2026,"Zannini I, De Giglio A.",10.21037/jtd-2025-1946,41660472,PMC12875826,MED,Y,0,,,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.21037/jtd-2025-1946|41660472|first-line treatment strategies for &lt;i&gt;braf&lt;/i&gt;-v600e mutated non-small cell lung cancer: lessons from real-,6,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
Brazil,Latin America,lung cancer EGFR mutations Brazil adenocarcinoma,Lung cancer treatment pathways in the largest private health insurance in Brazil: a real-world data study.,,2026,"da Silva Sardenberg RA, de Campos CAL, Porto BC, da Cruz JAS.",10.1186/s12885-026-15702-2,41776449,PMC13081543,MED,Y,0,,,REGIONAL_PREVALENCE_CONTEXT_CANDIDATE,False,True,Literature metadata only. Do not use for training unless patient-level downloadable supplement is verified.,10.1186/s12885-026-15702-2|41776449|lung cancer treatment pathways in the largest private health insurance in brazil: a real-world data study.,4,REGIONAL_PREVALENCE_CONTEXT,False,True,True,True,PENDING_REVIEW
