gene,alteration_group,tumor_type,drug,evidence_direction,evidence_type,evidence_strength,evidence_score,clinical_logic,source_category,source_name,curation_status,allowed_for_dashboard,allowed_for_training
EGFR,EGFR exon 19 deletion,NSCLC/LUAD,Osimertinib,Sensitivity,Predictive,High,1.0,Classical EGFR activating/sensitizing alteration; osimertinib is prioritized as a modern EGFR TKI in this research ranking.,knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR L858R,NSCLC/LUAD,Osimertinib,Sensitivity,Predictive,High,1.0,Classical EGFR activating/sensitizing alteration; osimertinib is prioritized as a modern EGFR TKI in this research ranking.,knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR exon 19 deletion,NSCLC/LUAD,Erlotinib,Sensitivity,Predictive,Moderate,0.78,"EGFR activating alteration supports EGFR TKI sensitivity, but modern ranking may prioritize osimertinib depending context.",knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR L858R,NSCLC/LUAD,Erlotinib,Sensitivity,Predictive,Moderate,0.78,"EGFR activating alteration supports EGFR TKI sensitivity, but modern ranking may prioritize osimertinib depending context.",knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR exon 19 deletion,NSCLC/LUAD,Gefitinib,Sensitivity,Predictive,Moderate,0.76,"EGFR activating alteration supports EGFR TKI sensitivity, but modern ranking may prioritize osimertinib depending context.",knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR L858R,NSCLC/LUAD,Gefitinib,Sensitivity,Predictive,Moderate,0.76,"EGFR activating alteration supports EGFR TKI sensitivity, but modern ranking may prioritize osimertinib depending context.",knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR exon 19 deletion,NSCLC/LUAD,Afatinib,Sensitivity,Predictive,Moderate,0.8,EGFR activating alteration supports EGFR TKI sensitivity.,knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR L858R,NSCLC/LUAD,Afatinib,Sensitivity,Predictive,Moderate,0.8,EGFR activating alteration supports EGFR TKI sensitivity.,knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR T790M,NSCLC/LUAD,Osimertinib,Sensitivity,Predictive/Resistance-overcoming,High,0.95,T790M is a recognized EGFR resistance alteration where osimertinib is used in the resistance-overcoming context.,knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
EGFR,EGFR T790M,NSCLC/LUAD,Erlotinib,Resistance,Resistance,High,-0.9,T790M is a resistance alteration to earlier-generation EGFR TKIs.,knowledgebase_evidence,Manual curated precision oncology rule; validate against CIViC/CGI/regulatory/guideline sources,MANUAL_VERIFICATION_REQUIRED,True,False
